Height,Weight,ADD/L,ADD/R,ABD/L,ABD/R,ER/L,ER/R,IR/L,IR/R,EXT/L,EXT/R,FLEX/L,FLEX/R,EB max force,EB mean force,EB sd force,EB max height,EB min height,EB mean height,BB
1.68,57.7,261.55,255.95,213.65,207.6,75.7,80.7,104.7,80.55,118.65,97.9,177.8,155.5,9.31,7.42540372670807,0.595002545913368,7.0,7.0,7.0,9.5
1.66,62.2,262.6,276.9,253.1,249.15,80.7,80.95,95.15,105.15,167.3,151.35,153.9,189.45,9.26,7.03633540372672,0.591238933037172,7.5,7.0,7.41666666666667,8.0
1.73,66.2,230.25,247.5,269.75,262.05,96.65,103.5,124.95,121.9,213.5,175.65,184.6,208.25,8.73,6.23372670807453,0.725542289292891,8.0,8.0,8.0,8.5
1.61,46.6,117.75,126.15,135.9,129.65,46.8,57.3,95.2,66.85,73.6,91.3,134.25,134.4,9.0,6.24121298189805,0.53945186680959,8.5,7.5,8.16666666666667,9.5
1.57,52.8,319.65,333.95,260.7,261.25,74.65,91.9,111.5,104.2,241.0,237.15,202.55,185.35,9.1,7.5623602484472,0.593106311913042,8.0,7.0,7.58333333333333,8.0
1.69,56.25,202.45,210.55,231.75,238.35,84.15,77.2,96.1,90.15,146.35,176.75,143.45,132.7,10.41,7.53201863354037,1.10726317466511,7.0,7.0,7.0,8.0
1.71,68.0,301.6,311.35,315.45,312.4,112.05,106.5,125.3,124.95,292.65,204.1,221.4,230.3,13.12,9.62919254658385,1.14931726999527,8.5,8.0,8.33333333333333,9.5
1.62,59.1,296.2,299.5,260.75,271.8,86.45,99.05,101.6,96.1,188.95,199.8,179.25,134.05,11.03,9.63127329192547,0.571425440554686,7.5,6.5,7.0,9.0
1.72,70.76,301.65,296.0,287.0,311.8,87.45,95.9,110.7,101.35,183.45,236.1,212.75,235.25,9.06,7.451614906832289,0.6397852059935789,8.0,7.5,7.83333333333333,9.5
1.7,61.01,257.2,266.8,270.15,259.2,110.35,108.0,122.1,118.7,228.9,261.3,203.7,173.35,9.62,8.15832298136646,0.637786999498092,8.0,7.5,7.66666666666667,9.0
1.64,55.8,259.15,257.3,221.15,210.75,55.45,54.25,61.4,60.05,143.85,89.25,138.65,132.05,6.92,5.45521739130435,0.58629953850867,7.5,6.0,6.75,9.0
1.68,53.0,241.5,257.55,242.45,236.85,60.05,67.5,83.85,85.05,177.15,96.2,212.9,190.25,10.62,8.11105590062111,0.785580803837261,8.0,7.5,7.66666666666667,9.0
1.59,47.4,211.0,216.4,171.55,160.7,67.9,72.55,78.2,69.15,110.4,90.1,136.6,132.05,9.41,7.854596273291921,0.680764179176328,8.5,8.0,8.33333333333333,9.0
1.64,58.06,334.4,362.8,277.4,270.95,110.75,122.35,95.4,82.05,146.75,136.75,167.75,160.6,9.38,7.58841614906832,0.606118060726636,7.5,7.0,7.16666666666667,9.5
1.75,62.0,286.85,303.1,271.0,256.0,93.85,102.6,83.9,83.9,255.7,223.35,235.3,222.35,9.7,8.0483850931677,0.683463691498246,8.0,7.5,7.75,9.0
1.71,60.9,199.85,223.15,226.0,217.2,83.4,89.0,112.6,93.2,214.3,167.7,177.8,166.95,8.55,6.63282608695652,0.7387328720616071,8.0,7.5,7.58333333333333,8.5
1.65,61.5,331.55,322.15,211.05,235.4,82.7,93.5,161.95,145.95,182.4,204.95,197.55,218.25,9.18,7.782763975155281,0.515122222021421,8.0,8.0,8.0,9.5
1.71,62.14,227.85,228.3,178.8,163.8,77.1,74.15,106.45,102.1,260.65,202.15,180.0,171.7,11.45,8.801428571428572,1.0591366949057,8.0,8.0,8.0,8.5
1.7,53.0,271.1,280.3,194.5,199.3,97.3,100.1,142.7,129.05,128.8,137.4,176.35,177.35,7.6,5.68562111801242,0.613645776886255,8.0,7.5,7.75,9.5
1.63,52.0,284.4,252.4,240.4,218.3,87.5,84.55,92.45,106.1,160.1,177.2,152.35,157.85,10.39,7.165714285714281,0.964779906000688,8.5,8.0,8.16666666666667,9.5
1.63,61.0,283.4,289.85,251.85,263.45,88.9,87.05,100.8,88.8,224.65,274.9,156.85,162.5,9.12,7.179999999999991,0.8480999470871461,7.0,6.5,6.91666666666667,9.0
1.75,66.5,231.25,253.35,276.05,253.95,71.55,79.75,86.95,90.25,200.1,145.05,172.5,167.45,11.85,9.46478260869565,1.08145055867074,6.0,5.5,5.75,9.0
1.65,59.5,302.45,307.3,264.95,266.65,85.65,94.5,121.5,94.05,166.5,183.95,166.25,135.5,8.81,6.736242236024849,0.79065443358698,8.5,8.0,8.33333333333333,9.0
1.65,58.0,272.4,273.95,224.05,229.75,87.65,90.95,88.2,98.25,187.65,131.85,141.6,172.55,11.36,9.02040372670807,0.9070108510095111,8.0,7.5,7.58333333333333,8.0
1.69,57.8,243.25,251.4,243.45,246.6,73.15,80.1,112.65,110.1,106.75,135.2,122.1,135.05,7.96,6.12950310559006,0.625631445499506,7.5,7.0,7.33333333333333,8.0
1.61,51.5,220.95,227.05,185.15,194.9,45.1,58.75,103.25,117.55,124.1,174.8,122.75,109.95,9.76,7.26686335403727,0.9623937122000401,9.5,8.0,8.58333333333333,9.0
1.61,49.0,262.4,256.5,191.4,191.85,99.45,111.35,174.75,155.85,113.9,151.7,148.35,119.65,7.58,6.112111801242241,0.466115932175567,9.0,7.5,8.0,9.0
1.61,48.5,256.15,275.05,238.15,236.1,61.5,73.15,105.55,87.9,173.55,190.45,156.3,148.6,9.58,8.34978260869566,0.6381048771273691,6.5,6.0,6.41666666666667,8.5
1.7,57.6,280.55,273.8,212.35,194.55,77.4,78.4,92.5,78.1,213.15,197.85,230.9,232.8,10.37,7.852670807453411,0.823986781011814,7.5,7.0,7.25,8.0
1.7,51.2,235.8,258.95,165.5,171.5,76.95,85.05,92.35,104.5,106.75,116.45,124.95,124.1,9.73,6.78248447204969,0.856039224547414,7.5,7.0,7.16666666666667,8.5
1.74,64.1,236.05,247.6,250.6,264.65,73.5,79.95,101.65,109.0,257.45,250.35,193.7,186.45,8.66,6.98813664596273,0.6770885123407839,8.0,7.5,7.75,9.0
1.72,66.5,298.0,309.4,296.75,283.75,80.65,84.9,138.3,123.55,252.5,222.4,204.65,223.6,8.45,6.95701863354037,0.566022185887185,8.0,7.5,7.83333333333333,8.5
1.63,52.5,232.85,246.7,193.3,187.7,81.8,87.0,103.35,96.2,136.3,117.75,161.0,154.8,7.48,5.57444099378882,0.6831071338527399,8.5,8.0,8.25,9.0
1.63,58.06,199.6,199.8,231.5,218.45,61.4,73.55,87.15,90.85,138.45,178.7,119.8,115.9,10.06,8.04503105590062,0.668944511269161,8.5,7.5,8.0,8.0
1.69,49.5,227.1,233.95,232.65,212.2,74.4,80.9,91.95,97.8,151.05,123.45,159.6,175.95,9.33,6.507267080745339,0.978201660800737,7.5,7.0,7.41666666666667,8.0
